"2";"Editorial of the 15th European Networked Knowledge Organization Systems Workshop (NKOS 2016)";"Douglas Tudhope";"Philipp Mayr";"2016"
"2";"Editorial of the 15th European Networked Knowledge Organization Systems Workshop (NKOS 2016)";"Koraljka Golub";"Philipp Mayr";"2016"
"2";"Editorial of the 15th European Networked Knowledge Organization Systems Workshop (NKOS 2016)";"Christian Wartena";"Philipp Mayr";"2016"
"2";"Editorial of the 15th European Networked Knowledge Organization Systems Workshop (NKOS 2016)";"Ernesto William De Luca";"Philipp Mayr";"2016"
"5";"Classification for collections mapping and query expansion";"Anna Bendiscioli";"Claudio Gnoli";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Antoine Isaac";"Hugo Manguinhas";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Aude Lima";"Hugo Manguinhas";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Ariane N{\'{e}}roulidis";"Hugo Manguinhas";"2016"
"6";"Linking subject labels in Cultural Heritage Metadata to MIMO vocabulary using CultuurLink";"Dimitra Atsidis";"Hugo Manguinhas";"2016"
"7";"Developing imaged KOS with the FRSAD model: a conceptual methodology";"Marcilio de Brito";"Simone Vieira";"2016"
"7";"Developing imaged KOS with the FRSAD model: a conceptual methodology";"Maja Zumer";"Simone Vieira";"2016"
"9";"Re-designing Online Terminology Resources for German Grammar";"Christian Lang";"Karolina Suchowolec";"2016"
"12";"CRMba a CRM extension for the documentation of standing buildings";"Franco Niccolucci";"Paola Ronzino";"2016"
"12";"CRMba a CRM extension for the documentation of standing buildings";"Achille Felicetti";"Paola Ronzino";"2016"
"12";"CRMba a CRM extension for the documentation of standing buildings";"Martin Doerr";"Paola Ronzino";"2016"
"13";"On the composition of ISO 25964 hierarchical relations (BTG, BTP, BTI)";"Antoine Isaac";"Vladimir Alexiev";"2016"
"13";"On the composition of ISO 25964 hierarchical relations (BTG, BTP, BTI)";"Jutta Lindenthal";"Vladimir Alexiev";"2016"
"14";"Alignment of conceptual structures in controlled vocabularies in the domain of Chinese art: a discussion of issues and patterns";"Marcia Lei Zeng";"Sophy Shu-Jiun Chen";"2016"
"14";"Alignment of conceptual structures in controlled vocabularies in the domain of Chinese art: a discussion of issues and patterns";"Hsueh-hua Chen";"Sophy Shu-Jiun Chen";"2016"
"15";"A sharing-oriented design strategy for networked knowledge organization systems";"Adam Rabinowitz";"Ryan Shaw";"2016"
"15";"A sharing-oriented design strategy for networked knowledge organization systems";"Patrick Golden";"Ryan Shaw";"2016"
"15";"A sharing-oriented design strategy for networked knowledge organization systems";"Eric Kansa";"Ryan Shaw";"2016"
"17";"Recent applications of Knowledge Organization Systems: introduction to a special issue";"Douglas Tudhope";"Philipp Mayr";"2016"
"17";"Recent applications of Knowledge Organization Systems: introduction to a special issue";"Marcia Lei Zeng";"Philipp Mayr";"2016"
"26";"ISO/NISO";"Marcia Lei Zeng";"Sue Ellen Wright";"2005"
"58";"Building semantic knowledge organization systems for interdisciplinary research: An example of wetland remote sensing";"Liu Xiu Min";"Liu Zheng";"2015"
"60";"Innovative Use of Knowledge Organization Systems (KOS) that are Published as Linked Open Data (LOD)";"Julaine Clunis";"Marcia Lei Zeng";"2015"
"62";"A role of Ontology in Social data Analytics";"Jinhyeong Lee";"Sam Oh";"2015"
"63";"Leveraging semantic structure to improve retrieval: a comparative evaluation of result-set browsing based on topic maps and RDF ontologies";"Sam Oh";"Wnhong Jang";"2015"
"68";"How doctors apply semantic components to specify search in work-related information retrieval";"Lois Delcambre";"Marianne Lykke Nielsen";"2011"
"72";"Language technology in knowledge-organization systems";"Bolette Sandford Pedersen";"Costanza Navarretta";"2006"
"78";"Integrating Semi-formal Knowledge Organization Structures";"Claire-Lise Mottaz Jiang";"Gilles Falquet";"2006"
"79";"Role of Ontologies in Semantic Digital Libraries";"Bernhard Haslhofer";"Sebastian Ryszard Kruk";"2006"
"79";"Role of Ontologies in Semantic Digital Libraries";"Piotr Piotrowski";"Sebastian Ryszard Kruk";"2006"
"79";"Role of Ontologies in Semantic Digital Libraries";"Adam Westerski";"Sebastian Ryszard Kruk";"2006"
"80";"AGROVOC and the OWL Web Ontology Language: the Agriculture Ontology Service - Concept Server OWL model";"Anita Liang";"Boris Lauser";"2006"
"83";"Indexing challenges in work place information retrieval";"Anna Eslau";"Marianne Lykke Nielsen";"2006"
"84";"The Feasibility of Using the Semantic Components Model for Indexing Documents in Digital Libraries";"Marianne Lykke Nielsen";"Susan Price";"2006"
"84";"The Feasibility of Using the Semantic Components Model for Indexing Documents in Digital Libraries";"Lois Delcambre";"Susan Price";"2006"
"91";"Tagging tagging. A classification model for user keywords in scientific bibliography management systems";"Christian Wolff";"Markus Heckner";"2007"
"93";"Collaborative Building of Controlled Vocabulary Crosswalks";"Adam Gzella";"Mateusz Kaczmarek";"2007"
"94";"Results from a German terminology mapping effort: intra- and interdisciplinary cross-concordances between controlled vocabularies";"Anne-Kathrin Walter";"Philipp Mayr";"2007"
"98";"Kinds of Tags: a collaborative research study on tag usage and structure";"Ana Alice Baptista";"Emma Tonkin";"2007"
"98";"Kinds of Tags: a collaborative research study on tag usage and structure";"Andrea Resmini";"Emma Tonkin";"2007"
"109";"Indexing with semantic components improve information retrieval in domain-specific web portal";"Lois Delcambre";"Marianne Lykke Nielsen";"2008"
"112";"Public and professional vocabularies: comparing user tagging with museum documents and documentation";"David Bearman";"Jennifer Trant";"2008"
"115";"STW Thesaurus for economics web service applied to library applications";"Joachim Neubert";"Timo Borst";"2009"
"117";"UDC facets";"Aida Slavic";"Claudio Gnoli";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"George Buchanan";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Emlyn Everitt";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Dagobert Soergel";"Koraljka Golub";"2009"
"118";"EASTER project: Evaluating Automated Subject Tools for Enhancing Retrieval";"Douglas Tudhope";"Koraljka Golub";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Edward Fox";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Naren Ramakrishnan";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Andrea Kavanaugh";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Steve Sheetz";"Uma Murthy";"2009"
"120";"Building an ontology for crisis, tragedy and recovery";"Donald Shoemaker";"Uma Murthy";"2009"
