"author1";"author2";"count(*)"
"A. Westerski";"Bernhard Haslhofer";"1"
"A. Westerski";"P. Piotrowski";"1"
"A. Westerski";"Sebastian Ryszard Kruk";"1"
"A. Westerski";"T. Woroniecki";"1"
"Achille Felicetti";"Franco Niccolucci";"1"
"Achille Felicetti";"Martin Doerr";"1"
"Achille Felicetti";"Paola Ronzino";"1"
"Adam Farquhar";"Thomas Bandholtz";"1"
"Adam Gzella";"Mateusz Kaczmarek";"1"
"Adam Gzella";"Sebastian Ryszard Kruk";"1"
"Adam Rabinowitz";"Eric Kansa";"2"
"Adam Rabinowitz";"Patrick Golden";"2"
"Adam Rabinowitz";"Ryan Shaw";"2"
"Agis Papantoniou";"Jean Delahousse";"1"
"Agis Papantoniou";"Johan De Smedt";"2"
"Ahsan Morshed";"Armando Stellato";"1"
"Ahsan Morshed";"Benjamin Zapilko";"1"
"Ahsan Morshed";"Caterina Caracciolo";"1"
"Ahsan Morshed";"Gudrun Johannsen";"2"
"Ahsan Morshed";"Imma Subirats";"1"
"Ahsan Morshed";"Johannes Keizer";"2"
"Ahsan Morshed";"Philipp Mayr";"1"
"Ahsan Morshed";"Sachit Rajbhandari";"1"
"Ahsan Morshed";"Yves Jacques";"1"
"Aida Slavic";"Antoine Isaac";"1"
"Aida Slavic";"Claudio Gnoli";"1"
"Alistair Miles";"Brian Matthews";"2"
"Alistair Miles";"Dan Brickley";"1"
"Alistair Miles";"Dave Beckett";"1"
"Alistair Miles";"Michael Wilson";"1"
"Alistair Miles";"Nikki Rogers";"1"
"Alyssa Graybeal";"Laurel Tarulli";"1"
"Alyssa Graybeal";"Louise Spiteri";"1"
"Ana Alice Baptista";"Andrea Resmini";"1"
"Ana Alice Baptista";"Emma Tonkin";"1"
"Ana Alice Baptista";"Eva Mendéz";"1"
"Ana Alice Baptista";"Liddy Neville";"1"
"Ana Alice Baptista";"Seth van Hooland";"1"
"Andrea Kavanaugh";"Donald Shoemaker";"1"
"Andrea Kavanaugh";"Edward Fox";"1"
"Andrea Kavanaugh";"Naren Ramakrishnan";"1"
"Andrea Kavanaugh";"Steve Sheetz";"1"
"Andrea Kavanaugh";"Uma Murthy";"1"
"Andrea Kavanaugh";"Venkataraghavan Srinivasan";"1"
"Andrea Resmini";"Emma Tonkin";"1"
"Andrea Resmini";"Eva Mendéz";"1"
"Andrea Resmini";"Liddy Neville";"1"
"Andrea Resmini";"Seth van Hooland";"1"
"Andrea Scharnhorst";"Eko Indarto";"1"
"Andrea Scharnhorst";"Marat Charlaganov";"1"
"Andreas Blumauer";"Helmut Nagy";"1"
"Andreas Blumauer";"Thomas Schandl";"1"
"Andreas Ledl";"Jakob Voß";"1"
"Andreas Oskar Kempf";"Joachim Neubert";"1"
"Andrew Houghton";"Carol Hickey";"1"
"Andrew Houghton";"Diane Vizine-Goetz";"1"
"Andrew Houghton";"Roger Thompson";"1"
"Andy Corbett";"Cressida Chappell";"1"
"Andy Corbett";"David Medyckyj-Scott";"1"
"Andy Corbett";"James Reid";"1"
"Andy Priest";"Caroline Williams";"1"
"Andy Priest";"Ceri Binding";"1"
"Andy Priest";"Douglas Tudhope";"1"
"Andy Priest";"Janine Rigby";"1"
"Anita Liang";"Boris Lauser";"2"
"Anita Liang";"Dagobert Soergel";"1"
"Anita Liang";"Frehiwot Fisseha";"1"
"Anita Liang";"Johannes Keizer";"2"
"Anita Liang";"M. Sini";"1"
"Anita Liang";"Margherita Sini";"1"
"Anita Liang";"Stephen Katz";"2"
"Anna Bendiscioli";"Claudio Gnoli";"1"
"Anna Bendiscioli";"Cristina Recinella";"1"
"Anna Bendiscioli";"Laura Pusterla";"1"
"Anna Eslau";"H. Lundbeck";"1"
"Anna Eslau";"Marianne Lykke Nielsen";"2"
"Anna Mastora";"Sarantos Kapidakis";"1"
"Anne-Kathrin Walter";"Philipp Mayr";"1"
"Anne-Kathrin Walter";"Vivien Petras";"1"
"Antoine Isaac";"Ariane N{\'{e}}roulidis";"1"
"Antoine Isaac";"Aude Lima";"1"
"Antoine Isaac";"Dimitra Atsidis";"1"
"Antoine Isaac";"Guus Schreiber";"1"
"Antoine Isaac";"Hugo Manguinhas";"1"
"Antoine Isaac";"Jacco van Ossenbruggen";"1"
"Antoine Isaac";"Jan Wielemaker";"1"
"Antoine Isaac";"Jutta Lindenthal";"2"
"Antoine Isaac";"Maarten Brinkerink";"1"
"Antoine Isaac";"Michiel Hildebrand";"1"
"Antoine Isaac";"Sergiu Gordea";"1"
"Antoine Isaac";"Tom Miles";"1"
"Antoine Isaac";"Valentine Charles";"1"
"Antoine Isaac";"Victor de Boer";"1"
"Antoine Isaac";"Vladimir Alexiev";"2"
"Antoine Isaac";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Ariane N{\'{e}}roulidis";"Aude Lima";"1"
"Ariane N{\'{e}}roulidis";"Dimitra Atsidis";"1"
"Ariane N{\'{e}}roulidis";"Hugo Manguinhas";"1"
"Ariane N{\'{e}}roulidis";"Maarten Brinkerink";"1"
"Ariane N{\'{e}}roulidis";"Michiel Hildebrand";"1"
"Ariane N{\'{e}}roulidis";"Sergiu Gordea";"1"
"Ariane N{\'{e}}roulidis";"Tom Miles";"1"
"Ariane N{\'{e}}roulidis";"Valentine Charles";"1"
"Ariane N{\'{e}}roulidis";"V{\'{e}}ronique Ginouv{\`{e}}s";"1"
"Armando Stellato";"Caterina Caracciolo";"1"
"Armando Stellato";"Gudrun Johannsen";"1"
"Armando Stellato";"Imma Subirats";"1"
