name,degree,btw_cent,closeness_cent,effective_size
Tom Miles,10,0.0,0.0921814751005,1
Antoine Isaac,17,0.0592558283156,0.115046331849,11
Gudrun Johannsen,9,0.00422520714322,0.127718101733,4
Janine Rigby,4,0.0,0.120719849584,1
Johannes Keizer,16,0.0238370203725,0.137696078431,11
Anita Liang,6,0.000245704581045,0.113857222476,2
Susan Price,2,0.0,0.102471500228,1
Hella Moller Rasmussen,2,0.0,0.101997095134,1
Katy Newton,1,0.0,0.105413265785,1
Murtha Baca,2,0.0,0.12308029357,1
Margherita Sini,4,0.0,0.10441408791,1
Dimitra Atsidis,10,0.0,0.0921814751005,1
Jutta Lindenthal,2,0.0,0.109066200738,1
Timothy Tolle,3,0.0,0.102710361534,1
James Terwilliger,2,0.0,0.083137254902,1
H. Lundbeck,3,1.54392465648e-05,0.102233747327,2
Hugo Manguinhas,11,0.0032422417786,0.0923747276688,3
Linda Hill,1,0.0,0.0939504159873,1
Diana Massam,6,0.0,0.122396514161,1
Philipp Mayr,23,0.06394230133,0.166274509804,21
Christian Wartena,4,0.0,0.129978599109,1
Jose Borbinha,1,0.0,0.0757091840172,1
Boris Lauser,6,0.000245704581045,0.113857222476,2
Vivien Petras,2,0.0,0.119411233328,1
Sascha Schüller,3,0.0,0.119735720375,1
Sachit Rajbhandari,7,0.0,0.105413265785,1
Sue Ellen Wright,1,0.0,0.119735720375,1
Fakhri Momeni,1,0.0,0.119088500265,1
Judith Logan,2,0.0,0.083137254902,1
Vladimir Alexiev,4,0.0589470433843,0.137267118685,3
Hsiung-ming Liaw,3,0.0,0.0949628127113,1
Ceri Binding,9,0.00035510267099,0.123425056297,5
Koraljka Golub,9,0.00377232257732,0.13812772758,5
Ya-ning Chen,3,0.0,0.0949628127113,1
Michael Khoo,6,0.0,0.122396514161,1
Gail Hodge,2,0.0,0.0840892082024,1
George Buchanan,6,0.0,0.130749985454,1
Vanda Broughton,6,0.0,0.130749985454,1
Jacco van Ossenbruggen,4,0.0,0.0908510208207,1
Jian Qin,1,0.0,0.119735720375,1
Jan Wielemaker,4,0.0,0.0908510208207,1
Marcia Lei Zeng,13,0.0855025474757,0.167538954745,12
Agis Papantoniou,2,0.0,0.0881254901961,1
Xia Lin,13,0.0166289507929,0.155150510909,10
Terence R. Smith,1,0.0,0.119735720375,1
Sammy Davidson,2,0.0,0.120061975744,1
Janet Ormes,2,0.0,0.0840892082024,1
Johan De Smedt,3,0.00642272657094,0.111269558328,3
Hong Mei,1,0.0,0.0647981545559,1
